2023-01-14 12:08:13	3.588000	2238	+03	AG5VS: @AMRRON SNR? ? 
2023-01-14 11:29:56	3.588000	2238	-16	AI7HH: N1NZL SNR -05 ? 
2023-01-14 11:29:55	3.588000	2238	+09	KC1NPD: N1NZL SNR +10 ? 
2023-01-14 11:29:55	3.588000	2238	-08	K5BKR: N1NZL SNR -10 ? 
2023-01-14 11:29:55	3.588000	2238	-09	KF0BSQ: N1NZL SNR +05 ? 
2023-01-14 11:29:55	3.588000	2238	+01	N7SHM: N1NZL SNR +02 ? 
2023-01-14 11:29:15	3.588000	2238	-21	USD/H/N3XA: @ALLCALL CQ USD/H/N3XA: @ALLCALL CQ CQ CQ EF70 ? 
2023-01-14 11:29:12	3.588000	2238	+10	N1NZL: @AMRRON SNR? ? 
2023-01-14 11:27:13	3.588000	2238	-06	N4WXI: @CSTAT MSG ,280,TIME TO RISE AND SHINE,{^%} ? 
2023-01-14 11:25:08	3.588000	2238	-17	83U/XATIEO: @HB HEARTBEAT ? 
2023-01-14 11:18:56	3.588000	2238	+09	KC1NPD: KM4PHT NO ? 
2023-01-14 11:18:56	3.588000	2238	+02	N7SHM: KM4PHT NO ? 
2023-01-14 11:18:28	3.588000	2238	+05	KM4PHT: @AMRRON QUERY MSGS ? 
2023-01-14 11:03:13	3.588000	2238	-10	K4AKS: W8APP HEARTBEAT SNR -08 ? 
2023-01-14 11:03:13	3.588000	2238	+07	KC3PNF: W8APP HEARTBEAT SNR +05 ? 
2023-01-14 11:02:58	3.588000	2238	+07	W8APP: @HB HEARTBEAT ? 
2023-01-14 11:02:58	3.588000	2238	-08	KI7GPK: @HB HEARTBEAT ? 
2023-01-14 10:44:25	3.588000	2238	-26	AVX/RDF/E1F: @ALLCALL CQ AVX/RDF/E1F: @ALLCALL CQ CK81 
2023-01-14 10:15:25	3.588000	2238	-19	N7SHM: C0OM/1/TSM HEARTBEAT SNR -19 ? 
2023-01-14 10:02:55	3.588000	2238	+05	N7SHM: WA1AR HEARTBEAT SNR +01 ? 
2023-01-14 10:02:43	3.588000	2238	-10	KO4LAV: WA1AR HEARTBEAT SNR +03 ? 
2023-01-14 10:02:43	3.588000	2238	-01	W8APP: WA1AR HEARTBEAT SNR +14 ? 
2023-01-14 10:02:43	3.588000	2238	-01	N1NZL: WA1AR HEARTBEAT SNR +13 ? 
2023-01-14 10:02:42	3.588000	2238	+05	KC3PNF: WA1AR HEARTBEAT SNR +08 ? 
2023-01-14 10:02:28	3.588000	2238	-24	WA1AR: @HB HEARTBEAT ? 
2023-01-14 09:49:25	3.588000	2238	-18	KD9DSS/N: N4WXI NO ? 
2023-01-14 09:48:12	3.588000	2238	-06	N4WXI: @CSTAT QUERY MSGS ? 
2023-01-14 09:37:55	3.588000	2238	-08	K5BKR: KI7GPK HEARTBEAT SNR -09 ? 
2023-01-14 09:37:55	3.588000	2238	+03	N7SHM: KI7GPK HEARTBEAT SNR +16 ? 
2023-01-14 09:37:42	3.588000	2238	+06	W8APP: KI7GPK HEARTBEAT SNR +06 ? 
2023-01-14 09:37:42	3.588000	2238	+01	N1NZL: KI7GPK HEARTBEAT SNR -11 ? 
2023-01-14 09:37:42	3.588000	2238	+07	KC3PNF: KI7GPK HEARTBEAT SNR -03 ? 
2023-01-14 09:37:27	3.588000	2238	-03	KI7GPK: @HB HEARTBEAT ? 
2023-01-14 09:30:28	3.588000	2238	+13	W8APP: N4WXI SNR -02 ? 
2023-01-14 09:29:58	3.588000	2238	-09	N4WXI: @AMRRON SNR? ? 
2023-01-14 08:37:13	3.588000	2238	-04	KE0FUB: WA6RIK NO ? 
2023-01-14 08:37:13	3.588000	2238	-09	KE0ZZY: WA6RIK NO ? 
2023-01-14 08:37:13	3.588000	2238	+05	W8APP: WA6RIK NO ? 
2023-01-14 08:37:13	3.588000	2238	+07	N1NZL: WA6RIK NO ? 
2023-01-14 08:35:55	3.588000	2238	-18	WA6RIK: @AMRRON GRID? ? 
2023-01-14 08:25:58	3.588000	2238	-11	N4WXI: @CSTAT  ,EM63,1,962,111111112111,CONDITIONS GOOD AT THIS QTH,{&%} ? 
2023-01-14 08:20:28	3.588000	2238	-07	N4WXI: @CSTAT SNR? ? 
2023-01-14 08:17:25	3.588000	2238	-07	K5BKR: KI7GPK HEARTBEAT SNR -11 ? 
2023-01-14 08:17:25	3.588000	2238	+02	N7SHM: KI7GPK HEARTBEAT SNR +15 ? 
2023-01-14 08:17:13	3.588000	2238	+07	W8APP: KI7GPK HEARTBEAT SNR +00 ? 
2023-01-14 08:17:13	3.588000	2238	+09	N1NZL: KI7GPK HEARTBEAT SNR -19 ? 
2023-01-14 08:16:58	3.588000	2238	-11	KI7GPK: @HB HEARTBEAT ? 
2023-01-14 08:12:25	3.588000	2238	-06	K5BKR: K9NEY HEARTBEAT SNR +01 ? 
2023-01-14 08:12:25	3.588000	2238	-19	N7SHM: K9NEY HEARTBEAT SNR +01 ? 
2023-01-14 08:11:58	3.588000	2238	-11	KE0ZZY: K9NEY HEARTBEAT SNR -07 ? 
2023-01-14 08:11:58	3.588000	2238	-07	K4AKS: K9NEY HEARTBEAT SNR -07 ? 
2023-01-14 08:11:58	3.588000	2238	+00	KO4LAV: K9NEY HEARTBEAT SNR -19 ? 
2023-01-14 08:11:58	3.588000	2238	+12	W8APP: K9NEY HEARTBEAT SNR +00 ? 
2023-01-14 08:11:42	3.588000	2238	-06	K9NEY: @HB HEARTBEAT ? 
2023-01-14 07:16:55	3.588000	2238	+08	N7SHM: K5BKR HEARTBEAT SNR -12 ? 
2023-01-14 07:16:45	3.588000	2238	+00	K4AKS: K5BKR HEARTBEAT SNR -04 ? 
2023-01-14 07:16:42	3.588000	2238	-01	KO4LAV: K5BKR HEARTBEAT SNR -12 ? 
